WaferID,BTM_X,BTM_Y,DMT_X,DMT_Y,BTM_Thickness,DMT_Thickness,Distance_mm,Thickness_Difference,Abs_Thickness_Difference
GL5KX074SEH0,19.3,19.3,18.0,18.0,12487,12521.39,1.8384776310850246,-34.38999999999942,34.38999999999942
GL5KX074SEH0,-47.5,-36.4,-48.0,-36.0,12444,12476.74,0.640312423743284,-32.73999999999978,32.73999999999978
GL5KX074SEH0,-57.9,19.3,-57.0,18.0,12444,12478.68,1.5811388300841893,-34.68000000000029,34.68000000000029
GL5KX074SEH0,-19.3,-57.9,-18.0,-57.0,12445,12476.02,1.5811388300841893,-31.020000000000437,31.020000000000437
GL5KX074SEH0,-19.3,57.9,-18.0,57.0,12444,12479.91,1.5811388300841893,-35.909999999999854,35.909999999999854
GL5KX074SEH0,71.2,-3.6,72.0,-3.0,12428,12458.31,0.9999999999999978,-30.30999999999949,30.30999999999949
GL5KX074SEH0,57.9,57.9,57.0,57.0,12405,12441.32,1.2727922061357835,-36.31999999999971,36.31999999999971
GL5KX074SEH0,-71.2,61.9,-72.0,63.0,12382,12415.83,1.3601470508735438,-33.82999999999993,33.82999999999993
GL5KX074SEH0,19.3,-96.5,18.0,-96.0,12389,12424.65,1.3928388277184127,-35.649999999999636,35.649999999999636
GL5KX074SEH0,19.3,96.5,18.0,96.0,12378,12415.02,1.3928388277184127,-37.02000000000044,37.02000000000044
GL5KX074SEH0,96.5,19.3,96.0,18.0,12378,12413.88,1.3928388277184127,-35.8799999999992,35.8799999999992
GL5KX074SEH0,71.2,-69.2,72.0,-69.0,12385,12419.09,0.82462112512353,-34.090000000000146,34.090000000000146
GL5KX074SEH0,-96.5,-57.9,-96.0,-57.0,12354,12388.96,1.0295630140986987,-34.95999999999913,34.95999999999913
GL5KX074SEH0,-57.9,-96.5,-57.0,-96.0,12364,12401.77,1.0295630140986987,-37.77000000000044,37.77000000000044
GL5KX074SEH0,-57.9,96.5,-57.0,96.0,12357,12393.83,1.0295630140986987,-36.82999999999993,36.82999999999993
GL5KX074SEH0,94.9,61.8,96.0,63.0,12350,12383.43,1.6278820596099688,-33.43000000000029,33.43000000000029
GL5KX074SEH0,-118.6,-3.6,-120.0,-3.0,12339,12375.99,1.523154621172787,-36.98999999999978,36.98999999999978
GL5KX074SEH0,0.0,127.4,0.0,126.0,12333,12372.3,1.4000000000000057,-39.29999999999927,39.29999999999927
GL5KX074SEH0,0.0,-134.7,0.0,-135.0,12349,12382.85,0.30000000000001137,-33.850000000000364,33.850000000000364
GL5KX074SEH0,-96.5,96.5,-96.0,96.0,12339,12375.92,0.7071067811865476,-36.92000000000007,36.92000000000007
GL5KX074SEH0,96.5,-96.5,96.0,-96.0,12339,12374.89,0.7071067811865476,-35.88999999999942,35.88999999999942
GL5KX074SEH0,136.2,19.3,135.0,18.0,12332,12366.16,1.769180601295406,-34.159999999999854,34.159999999999854
GL5KX074SEH0,71.2,127.4,72.0,126.0,12406,12423.24,1.6124515496597134,-17.23999999999978,17.23999999999978
GL5KX074SEH0,142.4,-36.4,141.0,-36.0,12480,12447.62,1.4560219778561088,32.3799999999992,32.3799999999992
GL5KX074SEH0,-136.2,-57.9,-135.0,-57.0,12596,12489.99,1.49999999999999,106.01000000000022,106.01000000000022
GL5KX074SEH0,-136.2,57.9,-135.0,57.0,12601,12487.34,1.49999999999999,113.65999999999985,113.65999999999985
GL5KX074SEH0,-57.9,-136.2,-57.0,-135.0,12615,12504.07,1.49999999999999,110.93000000000029,110.93000000000029
GL5KX074SEH0,-57.9,136.2,-57.0,135.0,12595,12484.11,1.49999999999999,110.88999999999942,110.88999999999942
GL5KX074SEH0,57.9,-136.2,57.0,-135.0,12621,12507.19,1.49999999999999,113.80999999999949,113.80999999999949
DP3JB030JKA5,19.3,19.3,18.0,18.0,12400,12432.1,1.8384776310850246,-32.100000000000364,32.100000000000364
DP3JB030JKA5,-47.5,-36.4,-48.0,-36.0,12430,12464.04,0.640312423743284,-34.04000000000087,34.04000000000087
DP3JB030JKA5,-57.9,19.3,-57.0,18.0,12427,12467.76,1.5811388300841893,-40.76000000000022,40.76000000000022
DP3JB030JKA5,-19.3,-57.9,-18.0,-57.0,12416,12455.56,1.5811388300841893,-39.55999999999949,39.55999999999949
DP3JB030JKA5,-19.3,57.9,-18.0,57.0,12429,12469.41,1.5811388300841893,-40.409999999999854,40.409999999999854
DP3JB030JKA5,71.2,-3.6,72.0,-3.0,12381,12415.35,0.9999999999999978,-34.350000000000364,34.350000000000364
DP3JB030JKA5,57.9,57.9,57.0,57.0,12347,12387.59,1.2727922061357835,-40.590000000000146,40.590000000000146
DP3JB030JKA5,-71.2,61.9,-72.0,63.0,12321,12354.93,1.3601470508735438,-33.93000000000029,33.93000000000029
DP3JB030JKA5,19.3,-96.5,18.0,-96.0,12292,12333.69,1.3928388277184127,-41.69000000000051,41.69000000000051
DP3JB030JKA5,19.3,96.5,18.0,96.0,12302,12343.53,1.3928388277184127,-41.530000000000655,41.530000000000655
DP3JB030JKA5,96.5,19.3,96.0,18.0,12308,12351.0,1.3928388277184127,-43.0,43.0
DP3JB030JKA5,71.2,-69.2,72.0,-69.0,12294,12333.89,0.82462112512353,-39.88999999999942,39.88999999999942
DP3JB030JKA5,-96.5,-57.9,-96.0,-57.0,12268,12314.38,1.0295630140986987,-46.3799999999992,46.3799999999992
DP3JB030JKA5,-57.9,-96.5,-57.0,-96.0,12268,12310.93,1.0295630140986987,-42.93000000000029,42.93000000000029
DP3JB030JKA5,-57.9,96.5,-57.0,96.0,12275,12318.59,1.0295630140986987,-43.590000000000146,43.590000000000146
DP3JB030JKA5,94.9,61.8,96.0,63.0,12283,12322.8,1.6278820596099688,-39.79999999999927,39.79999999999927
DP3JB030JKA5,-118.6,-3.6,-120.0,-3.0,12267,12306.08,1.523154621172787,-39.07999999999993,39.07999999999993
DP3JB030JKA5,0.0,127.4,0.0,126.0,12253,12297.3,1.4000000000000057,-44.29999999999927,44.29999999999927
DP3JB030JKA5,0.0,-134.7,0.0,-135.0,12230,12272.11,0.30000000000001137,-42.11000000000058,42.11000000000058
DP3JB030JKA5,-96.5,96.5,-96.0,96.0,12239,12285.29,0.7071067811865476,-46.29000000000087,46.29000000000087
DP3JB030JKA5,96.5,-96.5,96.0,-96.0,12245,12288.14,0.7071067811865476,-43.13999999999942,43.13999999999942
DP3JB030JKA5,136.2,19.3,135.0,18.0,12260,12298.3,1.769180601295406,-38.29999999999927,38.29999999999927
DP3JB030JKA5,71.2,127.4,72.0,126.0,12355,12364.72,1.6124515496597134,-9.719999999999345,9.719999999999345
