WaferID,BTM_X,BTM_Y,DMT_X,DMT_Y,BTM_Thickness,DMT_Thickness,Distance_mm,Thickness_Difference,Abs_Thickness_Difference,Thickness_Delta,Abs_Thickness_Delta,Distance_from_center,Rank
GL5KX072SEF7,-136.2,-57.9,-135.0,-57.0,12520,12395.13,1.49999999999999,124.8700000000008,124.8700000000008,-124.8700000000008,124.8700000000008,147.99611481386935,1
GL5KX072SEF7,-57.9,136.2,-57.0,135.0,12529,12404.94,1.49999999999999,124.05999999999948,124.05999999999948,-124.05999999999949,124.05999999999949,147.99611481386935,2
GL5KX072SEF7,-136.2,57.9,-135.0,57.0,12519,12397.89,1.49999999999999,121.11000000000058,121.11000000000058,-121.11000000000058,121.11000000000058,147.99611481386935,3
DP3JB030JKA5,-136.2,-57.9,-135.0,-57.0,12512,12396.66,1.49999999999999,115.34000000000016,115.34000000000016,-115.34000000000015,115.34000000000015,147.99611481386935,4
GL5KX074SEH0,57.9,-136.2,57.0,-135.0,12621,12507.19,1.49999999999999,113.80999999999948,113.80999999999948,-113.80999999999949,113.80999999999949,147.99611481386935,5
GL5KX074SEH0,-136.2,57.9,-135.0,57.0,12601,12487.34,1.49999999999999,113.65999999999984,113.65999999999984,-113.65999999999985,113.65999999999985,147.99611481386935,6
DP3JB030JKA5,-136.2,57.9,-135.0,57.0,12505,12391.45,1.49999999999999,113.54999999999929,113.54999999999929,-113.54999999999927,113.54999999999927,147.99611481386935,7
3JEXP318SLA6,-136.2,57.9,-135.0,57.0,12556,12443.42,1.49999999999999,112.57999999999991,112.57999999999991,-112.57999999999993,112.57999999999993,147.99611481386935,8
GL5KX074SEH0,-57.9,-136.2,-57.0,-135.0,12615,12504.07,1.49999999999999,110.93000000000028,110.93000000000028,-110.93000000000029,110.93000000000029,147.99611481386935,9
GL5KX072SEF7,-57.9,-136.2,-57.0,-135.0,12526,12415.08,1.49999999999999,110.92000000000009,110.92000000000009,-110.92000000000007,110.92000000000007,147.99611481386935,10
GL5KX074SEH0,-57.9,136.2,-57.0,135.0,12595,12484.11,1.49999999999999,110.88999999999942,110.88999999999942,-110.88999999999942,110.88999999999942,147.99611481386935,11
3JEXP318SLA6,-57.9,136.2,-57.0,135.0,12557,12449.97,1.49999999999999,107.03000000000064,107.03000000000064,-107.03000000000065,107.03000000000065,147.99611481386935,12
DP3JB030JKA5,-57.9,136.2,-57.0,135.0,12493,12386.17,1.49999999999999,106.82999999999991,106.82999999999991,-106.82999999999993,106.82999999999993,147.99611481386935,13
GL5KX074SEH0,-136.2,-57.9,-135.0,-57.0,12596,12489.99,1.49999999999999,106.01000000000022,106.01000000000022,-106.01000000000022,106.01000000000022,147.99611481386935,14
3JEXP318SLA6,57.9,-136.2,57.0,-135.0,12570,12465.5,1.49999999999999,104.5,104.5,-104.5,104.5,147.99611481386935,15
3JEXP318SLA6,-136.2,-57.9,-135.0,-57.0,12545,12441.21,1.49999999999999,103.79000000000087,103.79000000000087,-103.79000000000087,103.79000000000087,147.99611481386935,16
DP3JB030JKA5,-57.9,-136.2,-57.0,-135.0,12494,12393.9,1.49999999999999,100.10000000000036,100.10000000000036,-100.10000000000036,100.10000000000036,147.99611481386935,17
GL5KX072SEF7,57.9,-136.2,57.0,-135.0,12501,12401.42,1.49999999999999,99.57999999999991,99.57999999999991,-99.57999999999993,99.57999999999993,147.99611481386935,18
3JEXP318SLA6,-57.9,-136.2,-57.0,-135.0,12536,12436.51,1.49999999999999,99.48999999999978,99.48999999999978,-99.48999999999978,99.48999999999978,147.99611481386935,19
DP3JB030JKA5,57.9,-136.2,57.0,-135.0,12494,12397.31,1.49999999999999,96.69000000000052,96.69000000000052,-96.69000000000051,96.69000000000051,147.99611481386935,20
DP3JB030JKA5,-96.5,-57.9,-96.0,-57.0,12268,12314.38,1.0295630140986989,-46.3799999999992,46.3799999999992,46.3799999999992,46.3799999999992,112.5373715705143,21
DP3JB030JKA5,-96.5,96.5,-96.0,96.0,12239,12285.29,0.7071067811865476,-46.29000000000087,46.29000000000087,46.29000000000087,46.29000000000087,136.47160876900367,22
DP3JB030JKA5,0.0,127.4,0.0,126.0,12253,12297.3,1.4000000000000057,-44.29999999999927,44.29999999999927,44.29999999999927,44.29999999999927,127.4,23
DP3JB030JKA5,-57.9,96.5,-57.0,96.0,12275,12318.59,1.0295630140986989,-43.59000000000015,43.59000000000015,43.590000000000146,43.590000000000146,112.5373715705143,24
3JEXP318SLA6,0.0,127.4,0.0,126.0,12309,12352.32,1.4000000000000057,-43.31999999999971,43.31999999999971,43.31999999999971,43.31999999999971,127.4,25
